sample,observed_species,PD_whole_tree,simpson_reciprocal
1,931,71.968118699,48.0388874794
1,934,72.795967736,48.6434556311
1,933,72.789860193,48.6244596227
1,941,73.291621463,48.3645965108
1,934,73.467832386,47.641876018
1,930,72.741525648,48.6492238929
1,929,73.143158573,48.6964567241
1,933,72.845257744,49.3565905701
1,932,72.933838402,49.2442545805
1,935,72.927452395,49.226149546
3,939,74.586151309,36.363760331
3,934,74.002776149,37.4904370096
3,912,71.874369383,36.2667464535
3,946,73.8578474,37.6313864579
3,932,73.664028278,36.8359740122
3,925,73.455940639,37.2837831855
3,933,74.750089919,38.3391940383
3,955,74.537446149,38.0361914362
3,939,73.806790389,38.1137504883
3,943,73.943956488,37.1188790099
13,924,73.707442392,42.9114334833
13,932,73.418890548,42.7452038545
13,932,74.091848935,42.1459672895
13,923,73.18934852,42.643354966
13,930,73.542076289,42.9949763057
13,931,73.75514518,42.0112905343
13,939,74.394983204,41.3785790855
13,920,73.036758153,42.3441174097
13,914,71.897313951,43.6202043334
13,921,73.288227986,42.6350598756
23,859,66.905179324,42.5878507509
23,872,68.462291897,43.3039272602
23,884,67.843197214,43.4248058775
23,879,68.197903415,42.7084640168
23,899,69.702617416,43.1560563456
23,887,68.473180013,44.2783391748
23,891,69.652170081,42.3911805149
23,890,68.810841118,45.6835472132
23,877,68.552462583,42.0810112067
23,880,67.828731329,44.4520383343
24,961,72.375230657,43.5471316049
24,966,73.546027898,43.1977105213
24,947,72.221371894,43.4506319351
24,960,73.273190068,43.3621375366
24,956,73.181822721,43.661568269
24,972,74.065289702,44.3930841124
24,959,72.974345672,43.0831949959
24,962,73.35821483,45.1103229335
24,970,74.240828443,44.365203262
24,965,73.652987525,43.6561478088
33,844,64.277512317,52.639630733
33,850,65.389329663,53.5707410005
33,839,65.077695958,53.4922051827
33,849,65.532988244,52.8452196545
33,846,65.587888489,53.657334203
33,839,64.111135808,53.4188034188
33,849,64.270375797,53.646359843
33,838,64.969066086,53.6630030487
33,840,65.436269451,54.1709058222
33,844,63.838484072,53.4092635029
36,861,69.609764207,58.3355057233
36,860,68.498586331,58.3147758708
36,853,68.168200332,57.7470355018
36,871,69.762318318,59.5602591616
36,861,69.411818594,58.68480027
36,855,69.114043517,58.7939162995
36,857,69.064451949,58.7291740843
36,852,68.985182965,58.3011765906
36,862,69.190468992,58.391709837
