OTU,a,b,d,a:b,a:d,b:d,a:b:d
OTU-123,0,0,0,0,0,0,0
OTU-14924,0,0,0,0,0,0,0
OTU-172,0,0,0,0,0,0,0
OTU-51,0,0,0,0,0,0,0
OTU-99,0,8.7648813227361,4.74982207660428,0,0,9.51223653692207,0
OTU-133,0,0,0,0,0,0,0
OTU-44,0,14.6728281135295,0,0,0,0,0
OTU-10,0,0,0,0,0,0,0
OTU-222,16.0745689660189,31.8956204943634,5.65554835556786,17.1495990415214,5.70918250627645,7.43858057547804,0
OTU-728,0,0,0,0,0,0,0
OTU-2874,0.0500419060036633,3.76911996339238,8.59853258679694,0.0686703860912315,0.906226276411925,5.5252190071365,6.14245040242025
OTU-5121,0,0,0,0,0,0,0
OTU-7,0,0,0,0,0,0,0
OTU-53321,0,0,0,0,0,0,0
OTU-305,0,0,0,0,0,0,0
OTU-48234,0,0,0,0,0,0,0
OTU-704,0,0,0,0,0,0,0
OTU-81,0,0,0,0,0,0,0
OTU-39431,21.4726319564392,23.4222747285907,8.52573951721988,23.4052344491331,0.835387665571677,0,0
OTU-28474,0,0,0,0,0,0,0
OTU-150,0.28719178816418,3.11339519673152,4.44498934561264,0,0,0,0
OTU-25822,18.5484923172896,24.2053740864367,8.34343337955283,22.7897325457265,0,0,0
OTU-49248,0,0,23.3981268498178,0,0,0,0
OTU-1,0.0502278744594979,32.0199515635546,2.81128032608122,10.3689423570523,1.34296586706654,1.96091490580177,5.63537492626368
OTU-213,11.9372145222394,0,1.5697950559398,0,0,0,0
OTU-863,0,0,0,0,0,0,0
OTU-23498,0,0,0,0,0,0,0
OTU-669,0,0,0,0,0,0,0
OTU-217,0,0,0,0,0,0,0
OTU-847,13.6520864699621,0,13.1072166974622,0,0,0,0
OTU-219,15.0580005385131,16.7819483307438,12.2485832930264,15.8321979396338,0,0,0
OTU-26710,0,13.7285024256414,8.71089279353416,0,0,0,0
OTU-38,0.593720088716954,4.30166748186239,12.00730297035,25.2326499267489,0,0,0
OTU-23709,0,0,43.1580098812479,0,0,0,0
OTU-151,0,0,0,0,0,0,0
OTU-20,0,0,18.0519434194958,0,0,0,0
OTU-655,25.2754738390217,0,0,0,0,0,0
OTU-36,0,0,8.7005636024025,0,0,0,0
OTU-7634,0,0,0,0,0,0,0
OTU-54,9.55006885051609,0,0,0,0,0,0
OTU-22476,0,0,0,0,0,0,0
OTU-3584,0,0,0,0,0,0,0
OTU-286,0,0,0,0,20.1843868697839,0,0
OTU-59018,0,0,0,0,0,0,0
OTU-157,0,0,0,0,0,0,0
OTU-2428,0,0,0,0,0,0,0
OTU-317,0,0,0,0,0,0,0
OTU-98,0,35.5113212379693,0,0,0,0,0
OTU-2352,7.26341801868873,0,18.4579723330039,0,0,0,0
OTU-17,2.04586650524213,0,44.9030140705122,0,0,0,0
OTU-17138,10.9520508340004,0,11.9727942542285,0,0,0,0
OTU-5544,9.03454709135111,0,21.3121094170736,0,7.48315126471628,0,0
OTU-12250,7.59650873228961,0,29.5390122714969,0,0,0,0
OTU-46,0,0,0,0,0,0,0
OTU-321,0,0,0,0,0,0,0
OTU-23166,0,0,0,0,0,0,0
OTU-109,0,0,0,0,0,0,0
OTU-239,0,0,35.3593427068342,0,0,0,0
OTU-40,0,0,0,0,0,0,0
OTU-741,0,0,0,0,0,0,0
OTU-212,0,0,0,0,0,0,0
OTU-152,6.09461904610933,1.78998782240935,8.41695213998913,0.374280037801567,0.465861859289715,4.52935407055978,5.14777162739385
OTU-42,0,0,0,0,0,0,0
OTU-248,5.81633744863312,7.37873536615475,5.57785888554694,0,3.00906539798608,1.94962794140831,5.76988546356932
OTU-258,0,0,0,0,0,0,0
OTU-771,0,0,0,0,0,0,0
OTU-70,0,0,0,0,0,0,0
OTU-78,0,0,0,0,0,0,0
OTU-185,0,0,0,0,0,0,0
OTU-8353,0,0,0,0,0,0,0
OTU-47005,0,0,0,0,0,0,0
OTU-106,0,0,0,0,0,0,0
OTU-124,0,0,0,0,0,0,0
OTU-120,0,39.069831685102,0,0,0,0,0
OTU-585,0,0,0,0,0,0,0
OTU-108,0,0,0,0,0,0,0
OTU-23602,0,7.97978116908853,0,0,0,0,0
OTU-53,0,0,0,0,0,0,0
OTU-89,0,0,0,0,0,0,0
OTU-176,0,0,0,0,0,0,0
OTU-198,0,0,0,0,0,0,0
OTU-966,0,0,0,0,0,0,0
OTU-278,0,0,0,0,0,0,0
OTU-116,0,0,0,0,0,0,0
OTU-55504,0,0,0,0,0,0,0
OTU-125,0,0,0,0,0,0,0
OTU-375,0,0,0,0,0,0,0
OTU-58,0,0,0,0,0,0,0
OTU-309,0.931043567198631,0.000129295315553576,8.13874138351483,0.118286441225295,2.56098130803209,0.733995637530487,2.11854086448117
OTU-183,0,0,0,0,0,4.57839272806897,0
OTU-442,0,0,0,0,0,0,0
OTU-24,0,0,0,0,0,0,0
OTU-2206,0,0,0,0,0,0,0
OTU-70210,0,0,0,0,0,0,0
OTU-26,0,0,0,0,0,0,0
OTU-24525,0,0,0,0,0,0,0
OTU-1574,0,0,0,0,0,0,0
OTU-247,0,0,0,11.3483358035869,0,0,0
OTU-11075,0,0,0,0,0,0,0
OTU-18921,0.116542184516826,4.76867085680513,4.60929817131556,1.27726304825733,1.46119512677675,5.80880708955398,3.88338284692237
OTU-3,0,0,0,0,0,0,0
OTU-145,0,0,0,6.09220877222236,0,0,0
OTU-4225,0,33.6274718134788,6.0118390633626,0,0,5.17802840363388,0
OTU-94,0,0.180821907878815,25.6931972043252,0,0,13.3607767777246,0
OTU-31,0,0,0,0,0,0,0
OTU-773,0,0,54.317065592692,0,0,0,0
OTU-56220,0,8.15297858230121,25.7084401661718,0,0,9.30057539763627,0
OTU-128,0,13.2253946054194,20.4041421537881,0,0,8.76593492086291,0
OTU-52,0,5.65543402423831,41.2352870266565,0,0,4.41856682251975,0
OTU-16976,0,0,0,0,0,0,0
OTU-59756,0,0,0,0,0,0,0
OTU-14508,0,0,26.8361960180381,0,0,0,0
OTU-58013,0,5.29070696178852,22.6693438935889,0,0,0,0
OTU-4,0,12.2952801859128,34.5933923255924,0,0,0,0
OTU-16154,0,7.47153239288847,47.6421095273425,0,0,0,0
OTU-2667,0,0,0,0,0,0,0
OTU-2147,0,0,0,0,0,0,0
OTU-715,0,0,25.0487813475101,0,0,0,0
OTU-66662,0,0,0,0,0,0,0
