sample,treatment,replica,sample_type,broth,incub,density,qPCR_16S
1,C,1,microcosm,C,C,C,189146880.390131
2,C,2,microcosm,C,C,C,187718858.035075
3,C,3,microcosm,C,C,C,184683284.125908
4,C,4,microcosm,C,C,C,262602612.646654
5,C,5,microcosm,C,C,C,149278841.115043
6,C,6,microcosm,C,C,C,155629506.337826
7,C,7,microcosm,C,C,C,168611505.589432
8,C,8,microcosm,C,C,C,163463217.644397
9,C,9,microcosm,C,C,C,215501718.059056
10,C,10,microcosm,C,C,C,265137739.340462
11,MAC_a1d1,1,microcosm,MAC,4_cycles,d1,234053892.750251
12,MAC_a1d1,2,microcosm,MAC,4_cycles,d1,224818578.550154
13,MAC_a1d1,3,microcosm,MAC,4_cycles,d1,238090325.539195
14,MAC_a1d1,4,microcosm,MAC,4_cycles,d1,246922421.753042
15,MAC_a1d1,5,microcosm,MAC,4_cycles,d1,228285176.962998
16,MAC_a1d1,6,microcosm,MAC,4_cycles,d1,192402368.67655
17,MAC_a1d1,7,microcosm,MAC,4_cycles,d1,220869886.706495
18,MAC_a1d1,8,microcosm,MAC,4_cycles,d1,246768575.702807
19,MAC_a1d1,9,microcosm,MAC,4_cycles,d1,216196633.423321
20,MAC_a1d1,10,microcosm,MAC,4_cycles,d1,225780045.150001
21,MAC_a1d2,1,microcosm,MAC,4_cycles,d2,202924464.663562
22,MAC_a1d2,2,microcosm,MAC,4_cycles,d2,247110718.171466
23,MAC_a1d2,3,microcosm,MAC,4_cycles,d2,238217155.690226
24,MAC_a1d2,4,microcosm,MAC,4_cycles,d2,280664448.766028
25,MAC_a1d2,5,microcosm,MAC,4_cycles,d2,298062206.418927
26,MAC_a1d2,6,microcosm,MAC,4_cycles,d2,231684688.575376
27,MAC_a1d2,7,microcosm,MAC,4_cycles,d2,228189776.297808
28,MAC_a1d2,8,microcosm,MAC,4_cycles,d2,446961343.007109
29,MAC_a1d2,9,microcosm,MAC,4_cycles,d2,253939744.077345
30,MAC_a1d2,10,microcosm,MAC,4_cycles,d2,292749277.090989
31,MAC_a1d3,1,microcosm,MAC,4_cycles,d3,218499613.97747
32,MAC_a1d3,2,microcosm,MAC,4_cycles,d3,216018589.923326
33,MAC_a1d3,3,microcosm,MAC,4_cycles,d3,220572433.276633
34,MAC_a1d3,4,microcosm,MAC,4_cycles,d3,283306126.336338
35,MAC_a1d3,5,microcosm,MAC,4_cycles,d3,226284204.546968
36,MAC_a1d3,6,microcosm,MAC,4_cycles,d3,209420066.551643
37,MAC_a1d3,7,microcosm,MAC,4_cycles,d3,206166907.172473
38,MAC_a1d3,8,microcosm,MAC,4_cycles,d3,256462382.061815
39,MAC_a1d3,9,microcosm,MAC,4_cycles,d3,238837601.736879
40,MAC_a1d3,10,microcosm,MAC,4_cycles,d3,280604766.729986
41,MAC_a2d1,1,microcosm,MAC,7_cycles,d1,273265565.863124
42,MAC_a2d1,2,microcosm,MAC,7_cycles,d1,253214773.636749
43,MAC_a2d1,3,microcosm,MAC,7_cycles,d1,232288668.066697
44,MAC_a2d1,4,microcosm,MAC,7_cycles,d1,205181655.985352
45,MAC_a2d1,5,microcosm,MAC,7_cycles,d1,244461573.98575
46,MAC_a2d1,6,microcosm,MAC,7_cycles,d1,187685841.85572
47,MAC_a2d1,7,microcosm,MAC,7_cycles,d1,201676084.421173
48,MAC_a2d1,8,microcosm,MAC,7_cycles,d1,239928130.052517
49,MAC_a2d1,9,microcosm,MAC,7_cycles,d1,236883503.077501
50,MAC_a2d1,10,microcosm,MAC,7_cycles,d1,245663325.937816
51,MAC_a2d2,1,microcosm,MAC,7_cycles,d2,179742583.578905
52,MAC_a2d2,2,microcosm,MAC,7_cycles,d2,181250163.903874
53,MAC_a2d2,3,microcosm,MAC,7_cycles,d2,219092914.3952
54,MAC_a2d2,4,microcosm,MAC,7_cycles,d2,230665119.847699
55,MAC_a2d2,5,microcosm,MAC,7_cycles,d2,174787246.558896
56,MAC_a2d2,6,microcosm,MAC,7_cycles,d2,197295317.512789
57,MAC_a2d2,7,microcosm,MAC,7_cycles,d2,156190483.145551
58,MAC_a2d2,8,microcosm,MAC,7_cycles,d2,209561753.419597
59,MAC_a2d2,9,microcosm,MAC,7_cycles,d2,233144158.404178
60,MAC_a2d2,10,microcosm,MAC,7_cycles,d2,169492774.57599
61,MAC_a2d3,1,microcosm,MAC,7_cycles,d3,196851222.916979
62,MAC_a2d3,2,microcosm,MAC,7_cycles,d3,206801886.54359
63,MAC_a2d3,3,microcosm,MAC,7_cycles,d3,230791969.169878
64,MAC_a2d3,4,microcosm,MAC,7_cycles,d3,241232779.882779
65,MAC_a2d3,5,microcosm,MAC,7_cycles,d3,221893626.003837
66,MAC_a2d3,6,microcosm,MAC,7_cycles,d3,204791296.396397
67,MAC_a2d3,7,microcosm,MAC,7_cycles,d3,199760451.499072
68,MAC_a2d3,8,microcosm,MAC,7_cycles,d3,214209132.948726
69,MAC_a2d3,9,microcosm,MAC,7_cycles,d3,209559275.318518
70,MAC_a2d3,10,microcosm,MAC,7_cycles,d3,202044816.777689
71,PEB_a1d1,1,microcosm,PEB,4_cycles,d1,183043542.77652
72,PEB_a1d1,2,microcosm,PEB,4_cycles,d1,226392342.826462
73,PEB_a1d1,3,microcosm,PEB,4_cycles,d1,210841747.545609
74,PEB_a1d1,4,microcosm,PEB,4_cycles,d1,205770145.291369
75,PEB_a1d1,5,microcosm,PEB,4_cycles,d1,180950159.55794
76,PEB_a1d1,6,microcosm,PEB,4_cycles,d1,199963873.545149
77,PEB_a1d1,7,microcosm,PEB,4_cycles,d1,189106524.494705
78,PEB_a1d1,8,microcosm,PEB,4_cycles,d1,143781154.040982
79,PEB_a1d1,9,microcosm,PEB,4_cycles,d1,239402179.866452
80,PEB_a1d1,10,microcosm,PEB,4_cycles,d1,199235247.545592
81,PEB_a1d2,1,microcosm,PEB,4_cycles,d2,294900274.342969
82,PEB_a1d2,2,microcosm,PEB,4_cycles,d2,277423020.177163
83,PEB_a1d2,3,microcosm,PEB,4_cycles,d2,210082851.390476
84,PEB_a1d2,4,microcosm,PEB,4_cycles,d2,263606408.371258
85,PEB_a1d2,5,microcosm,PEB,4_cycles,d2,179290690.23507
86,PEB_a1d2,6,microcosm,PEB,4_cycles,d2,258957970.428557
87,PEB_a1d2,7,microcosm,PEB,4_cycles,d2,162970668.238506
88,PEB_a1d2,8,microcosm,PEB,4_cycles,d2,151634482.320243
89,PEB_a1d2,9,microcosm,PEB,4_cycles,d2,265856492.944566
90,PEB_a1d2,10,microcosm,PEB,4_cycles,d2,226746268.369795
91,PEB_a1d3,1,microcosm,PEB,4_cycles,d3,271439643.644806
92,PEB_a1d3,2,microcosm,PEB,4_cycles,d3,282442388.432763
93,PEB_a1d3,3,microcosm,PEB,4_cycles,d3,216661158.189103
94,PEB_a1d3,4,microcosm,PEB,4_cycles,d3,304263284.342663
95,PEB_a1d3,5,microcosm,PEB,4_cycles,d3,234547222.123057
96,PEB_a1d3,6,microcosm,PEB,4_cycles,d3,231653280.363792
97,PEB_a1d3,7,microcosm,PEB,4_cycles,d3,182868959.369533
98,PEB_a1d3,8,microcosm,PEB,4_cycles,d3,310030569.910954
99,PEB_a1d3,9,microcosm,PEB,4_cycles,d3,291805059.522961
100,PEB_a1d3,10,microcosm,PEB,4_cycles,d3,266200506.882845
101,PEB_a2d1,1,microcosm,PEB,7_cycles,d1,268318616.709814
102,PEB_a2d1,2,microcosm,PEB,7_cycles,d1,215452301.925525
103,PEB_a2d1,3,microcosm,PEB,7_cycles,d1,278510633.614896
104,PEB_a2d1,4,microcosm,PEB,7_cycles,d1,148084079.25138
105,PEB_a2d1,5,microcosm,PEB,7_cycles,d1,236194506.62765
106,PEB_a2d1,6,microcosm,PEB,7_cycles,d1,215277680.894046
