DATASET_CONNECTION
#Connections datasets allow the drawing of straight or curved lines between any two nodes in the tree. Width, color and opacity can be set for each line.
#Optionally, arrowheads can be displayed on the lines.

#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,netwrok_M0

#dataset color (can be changed later)
COLOR,#999999


#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#



#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#


#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#To order legend entries horizontally instead of vertically, set LEGEND_HORIZONTAL to 1
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_POSITION_X,100
#LEGEND_POSITION_Y,100
#LEGEND_HORIZONTAL,0
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,value1,value2,value3
#LEGEND_SHAPE_SCALES,1,1,0.5

#if set to 1, arrows will be drawn on the destination end of each connection line
DRAW_ARROWS,0

#when arrows are displayed, this option sets their size
#ARROW_SIZE,20

#Size of the loops for connections within the same node (ie. when source and destination are the same)
LOOP_SIZE,100

#maximum width specified in the dataset will be drawn with this value. All other widths will be scaled down proportionally.
MAXIMUM_LINE_WIDTH,10

#Angle can be any value between -80 and 80. With angle set to 0 lines will be straight.
CURVE_ANGLE,0

#if CENTER_CURVES is set to 1, center of the tree (in circular display mode only) will be used as the control point for all curves, ignoring 'CURVE_ANGLE'
CENTER_CURVES,1

#if ALIGN_TO_LABELS is set to 1, connections from/to leaf nodes will start/end next to the leaf label, and not on the branch
ALIGN_TO_LABELS,1

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#Each line defines a single connection between 2 nodes and consists of the following fields:
#NODE1,NODE2,WIDTH,COLOR,STYLE,LABEL
#all connection widths will be normalized based on the MAXIMUM_LINE_WIDTH specified for the whole dataset
#STYLE defines the connection line style, and can be one of 'normal' or 'dashed'.
#color can be specified in hexadecimal, RGB or RGBA notation (if transparency is required). Note that you cannot use COMMA as the delimiter if RGB or RGBA color notation is used.

#source,target,value,color,style
OTU-222,OTU-39431,0.059701287863428,#3399FF,normal
OTU-39431,OTU-28474,0.0588057474623446,#3399FF,normal
OTU-222,OTU-150,0.127030817117947,#FF3366,normal
OTU-39431,OTU-150,0.0206864122536043,#FF3366,normal
OTU-222,OTU-25822,0.0849499394942999,#3399FF,normal
OTU-39431,OTU-25822,0.336202460256238,#3399FF,normal
OTU-28474,OTU-25822,0.0480374191390243,#3399FF,normal
OTU-39431,OTU-49248,0.159354424266665,#3399FF,normal
OTU-28474,OTU-49248,0.051749052745475,#3399FF,normal
OTU-25822,OTU-49248,0.175132321130197,#3399FF,normal
OTU-150,OTU-1,0.0171307123141169,#3399FF,normal
OTU-863,OTU-23498,0.0080245557860866,#3399FF,normal
OTU-222,OTU-219,0.163088558988184,#3399FF,normal
OTU-39431,OTU-219,0.0331686625946873,#3399FF,normal
OTU-150,OTU-219,0.238746880348439,#FF3366,normal
OTU-25822,OTU-219,0.0555079745860545,#3399FF,normal
OTU-1,OTU-219,0.032303584083866,#FF3366,normal
OTU-863,OTU-219,0.0704091951755747,#FF3366,normal
OTU-23498,OTU-219,0.0583226552509796,#FF3366,normal
OTU-39431,OTU-26710,0.030052778533687,#3399FF,normal
OTU-150,OTU-26710,0.00220876340928789,#FF3366,normal
OTU-219,OTU-26710,0.107249246811673,#3399FF,normal
OTU-219,OTU-38,0.112906988459726,#3399FF,normal
OTU-39431,OTU-23709,0.0248984873195762,#3399FF,normal
OTU-28474,OTU-23709,0.0722307772713003,#3399FF,normal
OTU-150,OTU-23709,0.0617029035846231,#3399FF,normal
OTU-49248,OTU-23709,0.0252391354602547,#3399FF,normal
OTU-863,OTU-23709,0.012573706588789,#3399FF,normal
OTU-219,OTU-23709,0.0657405237536989,#FF3366,normal
OTU-26710,OTU-23709,0.0342303734097441,#3399FF,normal
OTU-38,OTU-23709,0.00906159788538896,#FF3366,normal
OTU-150,OTU-20,0.0223076449186947,#3399FF,normal
OTU-23498,OTU-20,0.0134255474081927,#3399FF,normal
OTU-219,OTU-20,0.11122283213115,#FF3366,normal
OTU-26710,OTU-655,0.0918486629104219,#FF3366,normal
OTU-219,OTU-54,0.0123718390443156,#FF3366,normal
OTU-26710,OTU-54,0.0228921919182937,#FF3366,normal
OTU-7634,OTU-54,0.00593602996002641,#3399FF,normal
OTU-7634,OTU-59018,0.115753389039297,#3399FF,normal
OTU-54,OTU-59018,0.0008475293755359,#3399FF,normal
OTU-39431,OTU-317,0.0266261989785292,#3399FF,normal
OTU-26710,OTU-317,0.00519610546251427,#3399FF,normal
OTU-7634,OTU-317,0.0149370371884139,#3399FF,normal
OTU-219,OTU-98,0.0371527623193638,#3399FF,normal
OTU-23709,OTU-98,0.0936795669763107,#FF3366,normal
OTU-150,OTU-2352,0.0389531166372772,#3399FF,normal
OTU-219,OTU-2352,0.0881816360343473,#FF3366,normal
OTU-219,OTU-17,0.0271985390039704,#FF3366,normal
OTU-150,OTU-17138,0.0697088054111597,#3399FF,normal
OTU-23498,OTU-17138,0.0024763445621016,#3399FF,normal
OTU-26710,OTU-17138,0.0345549783470744,#FF3366,normal
OTU-219,OTU-5544,0.0711092472142959,#FF3366,normal
OTU-17138,OTU-5544,0.0624908988557922,#3399FF,normal
