OTU,susp_C,susp_MAC_a1,susp_MAC_a2,susp_PEB_a1,susp_PEB_a2
OTU-123,1,0.25,0,0,0
OTU-14924,0.25,0,0,0,0
OTU-172,0.5,0,0,0,0
OTU-51,1,0,0,0,0
OTU-99,1,0,0,0,0
OTU-133,0,0,0,0,0
OTU-44,0.75,0,0,0,0
OTU-10,0.25,0,0,0,0
OTU-222,1,1,1,0.25,0
OTU-728,0.75,0,0,0,0
OTU-2874,1,0,0,0,0
OTU-5121,0.75,0,0,0,0
OTU-7,1,0,0,0,0
OTU-53321,0.5,0,0,0,0
OTU-305,1,0,0,0,0
OTU-48234,1,0,0,0,0
OTU-704,0.5,0,0,0,0
OTU-81,1,0,0,0,0.25
OTU-39431,1,1,0.75,0.5,0
OTU-28474,0.75,0.5,0,0,0
OTU-150,0.25,0,0,0,0.25
OTU-25822,1,1,1,0.5,0
OTU-49248,0.75,1,0.75,0,0
OTU-1,1,1,1,1,1
OTU-213,0.25,0,0,0,0
OTU-863,1,0,0,0,0
OTU-23498,0.25,0,0,0,0
OTU-669,1,0,0,0,0
OTU-217,0.25,0,0,0,0
OTU-847,1,0,0,0,0
OTU-219,0,0.75,0,0,0
OTU-26710,0.25,0.75,0.25,0.75,0.25
OTU-38,1,1,1,0.75,1
OTU-23709,0.5,0.25,0,0,0
OTU-151,1,0,0,0,0
OTU-20,0.75,0,0,0,0
OTU-655,1,0,0,0,0
OTU-36,1,0,0,0,0
OTU-7634,0.5,0,0,0,0
OTU-54,0.5,0,0,0,0.25
OTU-22476,0.5,0,0,0,0
OTU-3584,0,0,0,0,0
OTU-286,1,0,0,0,0
OTU-157,1,0,0,0,0
OTU-2428,0.25,0,0,0,0
OTU-98,1,1,1,0.75,0.75
OTU-2352,0.5,0,0,0,0
OTU-17,1,1,0.5,0,0
OTU-17138,0.5,0,0,0,0
OTU-5544,0.75,0,0,0,0
OTU-12250,1,0,0,0,0
OTU-46,0.5,0,0,0,0
OTU-321,1,0,0,0,0
OTU-23166,1,0,0,0,0
OTU-109,0.5,0,0,0,0
OTU-239,0.5,0,0,0,0
OTU-741,0.5,0,0,0,0
OTU-212,0.75,0,0,0,0
OTU-152,0.25,0,0,0,0
OTU-42,0.75,0.25,0,0,0
OTU-248,0.25,0,0,0,0
OTU-258,0.25,0,0,0,0
OTU-771,1,0,0,0,0
OTU-70,0.25,0,0,0,0
