source,target,value,color,style
OTU-39431,OTU-28474,0.0588057474623446,#3399FF,normal
OTU-39431,OTU-25822,0.336202460256238,#3399FF,normal
OTU-28474,OTU-25822,0.0480374191390243,#3399FF,normal
OTU-39431,OTU-49248,0.159354424266665,#3399FF,normal
OTU-28474,OTU-49248,0.051749052745475,#3399FF,normal
OTU-25822,OTU-49248,0.175132321130197,#3399FF,normal
OTU-39431,OTU-219,0.0331686625946873,#3399FF,normal
OTU-25822,OTU-219,0.0555079745860545,#3399FF,normal
OTU-23498,OTU-219,0.0583226552509796,#FF3366,normal
OTU-39431,OTU-26710,0.030052778533687,#3399FF,normal
OTU-219,OTU-26710,0.107249246811673,#3399FF,normal
OTU-219,OTU-38,0.112906988459726,#3399FF,normal
OTU-39431,OTU-23709,0.0248984873195762,#3399FF,normal
OTU-28474,OTU-23709,0.0722307772713003,#3399FF,normal
OTU-49248,OTU-23709,0.0252391354602547,#3399FF,normal
OTU-219,OTU-23709,0.0657405237536989,#FF3366,normal
OTU-26710,OTU-23709,0.0342303734097441,#3399FF,normal
OTU-38,OTU-23709,0.00906159788538896,#FF3366,normal
OTU-39431,OTU-317,0.0266261989785292,#3399FF,normal
OTU-26710,OTU-317,0.00519610546251427,#3399FF,normal
OTU-219,OTU-98,0.0371527623193638,#3399FF,normal
OTU-23709,OTU-98,0.0936795669763107,#FF3366,normal
OTU-23709,OTU-4225,0.0863576685388738,#3399FF,normal
OTU-39431,OTU-773,0.10661637183662,#3399FF,normal
OTU-28474,OTU-773,0.0846466055500822,#3399FF,normal
OTU-25822,OTU-773,0.0754918825847122,#3399FF,normal
OTU-49248,OTU-773,0.0784023190400636,#3399FF,normal
OTU-38,OTU-773,0.0173708095948485,#FF3366,normal
OTU-23709,OTU-773,0.130910711431887,#3399FF,normal
OTU-94,OTU-773,0.0224120432440219,#3399FF,normal
OTU-31,OTU-773,0.0303126787276977,#3399FF,normal
OTU-23709,OTU-56220,0.0937174158539618,#3399FF,normal
OTU-773,OTU-56220,0.116614321094137,#3399FF,normal
OTU-219,OTU-52,0.0387471056784158,#FF3366,normal
OTU-23709,OTU-52,0.125828217778035,#3399FF,normal
OTU-773,OTU-52,0.146471499898217,#3399FF,normal
OTU-56220,OTU-52,0.0429414242575485,#3399FF,normal
OTU-773,OTU-59756,0.04442656991397,#3399FF,normal
OTU-773,OTU-14508,0.00649731053687483,#3399FF,normal
OTU-23709,OTU-4,0.00555406423652904,#3399FF,normal
OTU-773,OTU-4,0.00434918168566441,#3399FF,normal
OTU-23709,OTU-16154,0.138014768287441,#3399FF,normal
OTU-773,OTU-16154,0.144634876303532,#3399FF,normal
OTU-56220,OTU-16154,0.00249048032919523,#3399FF,normal
OTU-52,OTU-16154,0.0370889509415094,#3399FF,normal
OTU-25822,OTU-2147,0.0481785612048528,#FF3366,normal
OTU-219,OTU-2147,0.00389693034616171,#FF3366,normal
OTU-26710,OTU-2147,0.0948840923388435,#3399FF,normal
OTU-38,OTU-2147,0.0533981063307582,#FF3366,normal
OTU-23709,OTU-2147,0.0493569863257297,#3399FF,normal
OTU-98,OTU-2147,0.0676833026060476,#FF3366,normal
OTU-4225,OTU-2147,0.0594541329041741,#3399FF,normal
OTU-39431,OTU-715,0.0475625313526506,#3399FF,normal
OTU-28474,OTU-715,0.00319036103629573,#3399FF,normal
OTU-25822,OTU-715,0.0506837852416612,#3399FF,normal
OTU-49248,OTU-715,0.085476481372676,#3399FF,normal
OTU-23498,OTU-715,0.0706392555383849,#3399FF,normal
OTU-38,OTU-715,0.104187347155356,#FF3366,normal
