OTU,Kingdom,Phylum,class,Order,Family,Genus,Species,taxa,Abundance,genus_clean,color,order
OTU-123,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,bacterium enrichment culture clone heteroA15_4W,Alphaproteobacteria,6234,Devosia,#4d908e,3
OTU-14924,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,uncultured bacterium,Alphaproteobacteria,2498,Devosia,#4d908e,3
OTU-172,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Ambiguous_taxa,Alphaproteobacteria,3779,Devosia,#4d908e,3
OTU-51,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Bauldia,uncultured bacterium,Alphaproteobacteria,1718,Bauldia,#4d908e,3
OTU-99,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hirschia,uncultured Rhizobiaceae bacterium,Alphaproteobacteria,3156,Hirschia,#4d908e,3
OTU-133,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,metagenome,,Alphaproteobacteria,7501,metagenome,#4d908e,3
OTU-44,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,uncultured,uncultured bacterium,,Alphaproteobacteria,7806,Unknown Alphaproteobacteria,#4d908e,3
OTU-10,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,uncultured bacterium,,Alphaproteobacteria,9680,Unknown Alphaproteobacteria,#4d908e,3
OTU-222,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter soli,Gammaproteobacteria,14902,Enterobacter,#f08060,9
OTU-728,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,uncultured,uncultured bacterium,Gammaproteobacteria,1229,Unknown Gammaproteobacteria,#f08060,9
OTU-2874,Bacteria,Proteobacteria,Gammaproteobacteria,CCD24,uncultured bacterium,,,Gammaproteobacteria,852,Unknown Gammaproteobacteria,#f08060,9
OTU-5121,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,BIyi10,metagenome,Gammaproteobacteria,1342,BIyi10,#f08060,9
OTU-7,Bacteria,Proteobacteria,Gammaproteobacteria,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Gammaproteobacteria,3397,Unknown Gammaproteobacteria,#f08060,9
OTU-53321,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,BIyi10,uncultured soil bacterium,Gammaproteobacteria,1279,BIyi10,#f08060,9
OTU-305,Bacteria,Proteobacteria,Gammaproteobacteria,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Gammaproteobacteria,1993,Unknown Gammaproteobacteria,#f08060,9
OTU-48234,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,BIyi10,uncultured soil bacterium,Gammaproteobacteria,4369,BIyi10,#f08060,9
OTU-704,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7 clade,uncultured bacterium,Gammaproteobacteria,3296,BD1-7 clade,#f08060,9
OTU-81,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,uncultured bacterium,Gammaproteobacteria,5707,Cellvibrio,#f08060,9
OTU-39431,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Ambiguous_taxa,Gammaproteobacteria,2474,Pseudomonas,#f08060,9
OTU-28474,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Ambiguous_taxa,Gammaproteobacteria,615,Pseudomonas,#f08060,9
OTU-150,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured bacterium,Gammaproteobacteria,4845,Pseudomonas,#f08060,9
OTU-25822,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Ambiguous_taxa,Gammaproteobacteria,2120,Pseudomonas,#f08060,9
