sample,file,lib_id
1,1_S1_R1_001.fastq.gz,S1
10,10_S52_R1_001.fastq.gz,S52
100,100_S139_R1_001.fastq.gz,S139
101,101_S98_R1_001.fastq.gz,S98
102,102_S99_R1_001.fastq.gz,S99
103,103_S100_R1_001.fastq.gz,S100
104,104_S101_R1_001.fastq.gz,S101
105,105_S102_R1_001.fastq.gz,S102
106,106_S103_R1_001.fastq.gz,S103
107,107_S140_R1_001.fastq.gz,S140
108,108_S141_R1_001.fastq.gz,S141
109,109_S142_R1_001.fastq.gz,S142
11,11_S7_R1_001.fastq.gz,S7
110,110_S143_R1_001.fastq.gz,S143
111,111_S104_R1_001.fastq.gz,S104
112,112_S105_R1_001.fastq.gz,S105
113,113_S106_R1_001.fastq.gz,S106
114,114_S107_R1_001.fastq.gz,S107
115,115_S108_R1_001.fastq.gz,S108
116,116_S109_R1_001.fastq.gz,S109
117,117_S144_R1_001.fastq.gz,S144
118,118_S145_R1_001.fastq.gz,S145
119,119_S146_R1_001.fastq.gz,S146
12,12_S8_R1_001.fastq.gz,S8
120,120_S147_R1_001.fastq.gz,S147
121,121_S110_R1_001.fastq.gz,S110
122,122_S111_R1_001.fastq.gz,S111
123,123_S112_R1_001.fastq.gz,S112
124,124_S113_R1_001.fastq.gz,S113
125,125_S114_R1_001.fastq.gz,S114
126,126_S115_R1_001.fastq.gz,S115
127,127_S148_R1_001.fastq.gz,S148
128,128_S149_R1_001.fastq.gz,S149
129,129_S150_R1_001.fastq.gz,S150
13,13_S9_R1_001.fastq.gz,S9
130,130_S151_R1_001.fastq.gz,S151
131,131_S116_R1_001.fastq.gz,S116
132,132_S117_R1_001.fastq.gz,S117
133,133_S118_R1_001.fastq.gz,S118
134,134_S119_R1_001.fastq.gz,S119
135,135_S120_R1_001.fastq.gz,S120
136,136_S121_R1_001.fastq.gz,S121
137,137_S152_R1_001.fastq.gz,S152
138,138_S153_R1_001.fastq.gz,S153
139,139_S154_R1_001.fastq.gz,S154
14,14_S10_R1_001.fastq.gz,S10
140,140_S155_R1_001.fastq.gz,S155
141,141_S43_R1_001.fastq.gz,S43
142,142_S44_R1_001.fastq.gz,S44
143,143_S45_R1_001.fastq.gz,S45
15,15_S11_R1_001.fastq.gz,S11
16,16_S12_R1_001.fastq.gz,S12
17,17_S53_R1_001.fastq.gz,S53
18,18_S54_R1_001.fastq.gz,S54
180,180_S46_R1_001.fastq.gz,S46
181,181_S47_R1_001.fastq.gz,S47
