OTU,susp_C,susp_MAC_a1,susp_MAC_a2,susp_PEB_a1,susp_PEB_a2
1,OTU-123,1,0.25,0,0,0
2,OTU-14924,0.25,0,0,0,0
3,OTU-172,0.5,0,0,0,0
4,OTU-51,1,0,0,0,0
5,OTU-99,1,0,0,0,0
6,OTU-133,0,0,0,0,0
7,OTU-44,0.75,0,0,0,0
8,OTU-10,0.25,0,0,0,0
9,OTU-222,1,1,1,0.25,0
10,OTU-728,0.75,0,0,0,0
11,OTU-2874,1,0,0,0,0
12,OTU-5121,0.75,0,0,0,0
13,OTU-7,1,0,0,0,0
14,OTU-53321,0.5,0,0,0,0
15,OTU-305,1,0,0,0,0
16,OTU-48234,1,0,0,0,0
17,OTU-704,0.5,0,0,0,0
18,OTU-81,1,0,0,0,0.25
19,OTU-39431,1,1,0.75,0.5,0
20,OTU-28474,0.75,0.5,0,0,0
21,OTU-150,0.25,0,0,0,0.25
22,OTU-25822,1,1,1,0.5,0
23,OTU-49248,0.75,1,0.75,0,0
24,OTU-1,1,1,1,1,1
25,OTU-213,0.25,0,0,0,0
26,OTU-863,1,0,0,0,0
27,OTU-23498,0.25,0,0,0,0
28,OTU-669,1,0,0,0,0
29,OTU-217,0.25,0,0,0,0
30,OTU-847,1,0,0,0,0
31,OTU-219,0,0.75,0,0,0
32,OTU-26710,0.25,0.75,0.25,0.75,0.25
33,OTU-38,1,1,1,0.75,1
34,OTU-23709,0.5,0.25,0,0,0
35,OTU-151,1,0,0,0,0
36,OTU-20,0.75,0,0,0,0
37,OTU-655,1,0,0,0,0
38,OTU-36,1,0,0,0,0
39,OTU-7634,0.5,0,0,0,0
40,OTU-54,0.5,0,0,0,0.25
41,OTU-22476,0.5,0,0,0,0
42,OTU-3584,0,0,0,0,0
43,OTU-286,1,0,0,0,0
44,OTU-59018,0,0,0,0,0
45,OTU-157,1,0,0,0,0
46,OTU-2428,0.25,0,0,0,0
47,OTU-317,0,0,0,0,0
48,OTU-98,1,1,1,0.75,0.75
49,OTU-2352,0.5,0,0,0,0
50,OTU-17,1,1,0.5,0,0
51,OTU-17138,0.5,0,0,0,0
52,OTU-5544,0.75,0,0,0,0
53,OTU-12250,1,0,0,0,0
54,OTU-46,0.5,0,0,0,0
55,OTU-321,1,0,0,0,0
56,OTU-23166,1,0,0,0,0
57,OTU-109,0.5,0,0,0,0
58,OTU-239,0.5,0,0,0,0
59,OTU-40,0,0,0,0,0
60,OTU-741,0.5,0,0,0,0
61,OTU-212,0.75,0,0,0,0
62,OTU-152,0.25,0,0,0,0
63,OTU-42,0.75,0.25,0,0,0
64,OTU-248,0.25,0,0,0,0
65,OTU-258,0.25,0,0,0,0
66,OTU-771,1,0,0,0,0
67,OTU-70,0.25,0,0,0,0
68,OTU-78,0.25,0,0,0,0
69,OTU-185,0.25,0,0,0,0
70,OTU-8353,0.5,0,0,0,0
71,OTU-47005,1,0,0,0,0
72,OTU-106,0.75,0,0,0,0
73,OTU-124,1,0,0,0,0
74,OTU-120,0.25,1,1,1,1
75,OTU-585,1,0,0,0,0
76,OTU-108,1,0,0,0,0
77,OTU-23602,0.5,0,0,0,0
78,OTU-53,1,0,0,0,0
79,OTU-89,1,0,0,0,0
80,OTU-176,0.5,0,0,0,0
