OTU,range,color,taxa
OTU-123,range,#4d908e,Alphaproteobacteria
OTU-14924,range,#4d908e,Alphaproteobacteria
OTU-172,range,#4d908e,Alphaproteobacteria
OTU-51,range,#4d908e,Alphaproteobacteria
OTU-99,range,#4d908e,Alphaproteobacteria
OTU-133,range,#4d908e,Alphaproteobacteria
OTU-44,range,#4d908e,Alphaproteobacteria
OTU-10,range,#4d908e,Alphaproteobacteria
OTU-222,range,#f08060,Gammaproteobacteria
OTU-728,range,#f08060,Gammaproteobacteria
OTU-2874,range,#f08060,Gammaproteobacteria
OTU-5121,range,#f08060,Gammaproteobacteria
OTU-7,range,#f08060,Gammaproteobacteria
OTU-53321,range,#f08060,Gammaproteobacteria
OTU-305,range,#f08060,Gammaproteobacteria
OTU-48234,range,#f08060,Gammaproteobacteria
OTU-704,range,#f08060,Gammaproteobacteria
OTU-81,range,#f08060,Gammaproteobacteria
OTU-39431,range,#f08060,Gammaproteobacteria
OTU-28474,range,#f08060,Gammaproteobacteria
OTU-150,range,#f08060,Gammaproteobacteria
OTU-25822,range,#f08060,Gammaproteobacteria
OTU-49248,range,#f08060,Gammaproteobacteria
OTU-1,range,#f08060,Gammaproteobacteria
OTU-213,range,#f08060,Gammaproteobacteria
OTU-863,range,#f08060,Gammaproteobacteria
OTU-23498,range,#f08060,Gammaproteobacteria
OTU-669,range,#f08060,Gammaproteobacteria
OTU-217,range,#f08060,Gammaproteobacteria
OTU-847,range,#f08060,Gammaproteobacteria
OTU-219,range,#f08060,Gammaproteobacteria
OTU-26710,range,#f08060,Gammaproteobacteria
OTU-38,range,#f08060,Gammaproteobacteria
OTU-23709,range,#f08060,Gammaproteobacteria
OTU-151,range,#f08060,Gammaproteobacteria
OTU-20,range,#f08060,Gammaproteobacteria
OTU-655,range,#f08060,Gammaproteobacteria
OTU-36,range,#f08060,Gammaproteobacteria
OTU-7634,range,#f08060,Gammaproteobacteria
OTU-54,range,#f08060,Gammaproteobacteria
OTU-22476,range,#f08060,Gammaproteobacteria
OTU-3584,range,#f08060,Gammaproteobacteria
OTU-286,range,#f08060,Gammaproteobacteria
OTU-59018,range,#f08060,Gammaproteobacteria
OTU-157,range,#f08060,Gammaproteobacteria
OTU-2428,range,#f08060,Gammaproteobacteria
OTU-317,range,#f08060,Gammaproteobacteria
OTU-98,range,#f08060,Gammaproteobacteria
OTU-2352,range,#f08060,Gammaproteobacteria
OTU-17,range,#f08060,Gammaproteobacteria
OTU-17138,range,#f08060,Gammaproteobacteria
OTU-5544,range,#f08060,Gammaproteobacteria
OTU-12250,range,#f08060,Gammaproteobacteria
OTU-46,range,#f08060,Gammaproteobacteria
OTU-321,range,#f08060,Gammaproteobacteria
OTU-23166,range,#f08060,Gammaproteobacteria
OTU-109,range,#f08060,Gammaproteobacteria
OTU-239,range,#f08060,Gammaproteobacteria
OTU-40,range,#ffd673,Deltaproteobacteria
OTU-741,range,#ffd673,Deltaproteobacteria
OTU-212,range,#ffd673,Deltaproteobacteria
OTU-152,range,#ffd673,Deltaproteobacteria
OTU-42,range,#ffd673,Deltaproteobacteria
OTU-248,range,#322D2F,Others
OTU-258,range,#42a285,Bacteroidetes
OTU-771,range,#42a285,Bacteroidetes
OTU-70,range,#42a285,Bacteroidetes
OTU-78,range,#42a285,Bacteroidetes
OTU-185,range,#42a285,Bacteroidetes
OTU-8353,range,#42a285,Bacteroidetes
OTU-47005,range,#42a285,Bacteroidetes
OTU-106,range,#42a285,Bacteroidetes
OTU-124,range,#42a285,Bacteroidetes
OTU-120,range,#42a285,Bacteroidetes
OTU-585,range,#42a285,Bacteroidetes
OTU-108,range,#42a285,Bacteroidetes
OTU-23602,range,#42a285,Bacteroidetes
OTU-53,range,#42a285,Bacteroidetes
OTU-89,range,#42a285,Bacteroidetes
OTU-176,range,#42a285,Bacteroidetes
OTU-198,range,#42a285,Bacteroidetes
OTU-966,range,#42a285,Bacteroidetes
OTU-278,range,#42a285,Bacteroidetes
OTU-116,range,#42a285,Bacteroidetes
OTU-55504,range,#42a285,Bacteroidetes
OTU-125,range,#42a285,Bacteroidetes
OTU-375,range,#42a285,Bacteroidetes
OTU-58,range,#42a285,Bacteroidetes
OTU-309,range,#42a285,Bacteroidetes
OTU-183,range,#42a285,Bacteroidetes
OTU-442,range,#42a285,Bacteroidetes
OTU-24,range,#42a285,Bacteroidetes
OTU-2206,range,#42a285,Bacteroidetes
OTU-70210,range,#42a285,Bacteroidetes
OTU-26,range,#42a285,Bacteroidetes
OTU-24525,range,#42a285,Bacteroidetes
OTU-1574,range,#42a285,Bacteroidetes
OTU-247,range,#42a285,Bacteroidetes
OTU-11075,range,#42a285,Bacteroidetes
OTU-18921,range,#42a285,Bacteroidetes
OTU-3,range,#42a285,Bacteroidetes
OTU-145,range,#42a285,Bacteroidetes
OTU-4225,range,#ffb255,Firmicutes
OTU-94,range,#ffb255,Firmicutes
OTU-31,range,#ffb255,Firmicutes
OTU-773,range,#ffb255,Firmicutes
OTU-56220,range,#ffb255,Firmicutes
OTU-128,range,#ffb255,Firmicutes
OTU-52,range,#ffb255,Firmicutes
OTU-16976,range,#ffb255,Firmicutes
OTU-59756,range,#ffb255,Firmicutes
OTU-14508,range,#ffb255,Firmicutes
OTU-58013,range,#ffb255,Firmicutes
OTU-4,range,#ffb255,Firmicutes
OTU-16154,range,#ffb255,Firmicutes
OTU-2667,range,#ffb255,Firmicutes
OTU-2147,range,#ffb255,Firmicutes
OTU-715,range,#ffb255,Firmicutes
OTU-66662,range,#ffb255,Firmicutes
OTU-292,range,#6d597a,Acidobacteria
OTU-581,range,#6d597a,Acidobacteria
OTU-82,range,#6d597a,Acidobacteria
OTU-268,range,#6d597a,Acidobacteria
OTU-426,range,#90be6d,Chloroflexi
OTU-156,range,#90be6d,Chloroflexi
OTU-242,range,#90be6d,Chloroflexi
OTU-1458,range,#90be6d,Chloroflexi
OTU-32,range,#90be6d,Chloroflexi
OTU-914,range,#322D2F,Others
OTU-709,range,#90be6d,Chloroflexi
OTU-625,range,#90be6d,Chloroflexi
OTU-1099,range,#90be6d,Chloroflexi
OTU-263,range,#90be6d,Chloroflexi
OTU-536,range,#90be6d,Chloroflexi
OTU-1340,range,#90be6d,Chloroflexi
OTU-1067,range,#90be6d,Chloroflexi
OTU-56040,range,#7d092f,Verrucomicrobia
OTU-324,range,#7d092f,Verrucomicrobia
OTU-1613,range,#7d092f,Verrucomicrobia
OTU-255,range,#7d092f,Verrucomicrobia
OTU-749,range,#7d092f,Verrucomicrobia
OTU-6403,range,#7d092f,Verrucomicrobia
OTU-91,range,#7d092f,Verrucomicrobia
OTU-169,range,#7d092f,Verrucomicrobia
OTU-745,range,#7d092f,Verrucomicrobia
OTU-273,range,#7d092f,Verrucomicrobia
OTU-4976,range,#7d092f,Verrucomicrobia
