"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","C vs MAC_a1d1",1,0.0589927998667964,16.6847861455688,0.495321124304173,0.001,0.00181395348837209,"*"
"2","C vs MAC_a1d2",1,0.0431739776898542,7.94964102091429,0.306348785885216,0.004,0.00636734693877551,"*"
"3","C vs MAC_a1d3",1,0.099108275773037,48.2685282484669,0.739537561881529,0.001,0.00181395348837209,"*"
"4","C vs MAC_a2d1",1,0.0623812750943121,24.0918660926985,0.600916555916714,0.001,0.00181395348837209,"*"
"5","C vs MAC_a2d2",1,0.0955739028000653,51.6732935198188,0.752451074811289,0.001,0.00181395348837209,"*"
"6","C vs PEB_a1d1",1,0.0482968824301353,23.2298371884898,0.563422966777442,0.001,0.00181395348837209,"*"
"7","C vs PEB_a1d2",1,0.0718289709685225,28.4483124446209,0.612472465572115,0.001,0.00181395348837209,"*"
"8","C vs PEB_a1d3",1,0.0745519972302123,42.3331109941479,0.701656359113556,0.001,0.00181395348837209,"*"
"9","C vs PEB_a2d1",1,0.0634910932204491,10.4448690235152,0.367196945603106,0.001,0.00181395348837209,"*"
"10","C vs PEB_a2d3",1,0.0592439662308854,22.099609132175,0.565213044904566,0.001,0.00181395348837209,"*"
"11","C vs MAC_a2d3",1,0.0931366930574666,40.0729562688746,0.714657455845941,0.001,0.00181395348837209,"*"
"12","C vs PEB_a2d2",1,0.0842461654087407,36.6724368296507,0.683263868678895,0.001,0.00181395348837209,"*"
"13","MAC_a1d1 vs MAC_a1d2",1,0.0297519306564322,4.13799351880504,0.195760941790608,0.041,0.0507619047619048,""
"14","MAC_a1d1 vs MAC_a1d3",1,0.102807755835876,27.702696839341,0.633889870485135,0.001,0.00181395348837209,"*"
"15","MAC_a1d1 vs MAC_a2d1",1,0.0175885233437565,4.00338927923236,0.210667119449446,0.03,0.0403448275862069,"."
"16","MAC_a1d1 vs MAC_a2d2",1,0.0704564451882586,20.1609962811702,0.557534314718769,0.001,0.00181395348837209,"*"
"17","MAC_a1d1 vs PEB_a1d1",1,0.0395201030766237,10.8544039965984,0.389683584611036,0.001,0.00181395348837209,"*"
"18","MAC_a1d1 vs PEB_a1d2",1,0.10275091301247,24.982245540802,0.595066919813093,0.001,0.00181395348837209,"*"
"19","MAC_a1d1 vs PEB_a1d3",1,0.105901194813309,32.050350024125,0.653417356009922,0.001,0.00181395348837209,"*"
"20","MAC_a1d1 vs PEB_a2d1",1,0.0360069798627602,4.57185187556293,0.211935994273261,0.04,0.0503225806451613,""
"21","MAC_a1d1 vs PEB_a2d3",1,0.066384977182992,15.1639014937873,0.486585464814485,0.001,0.00181395348837209,"*"
"22","MAC_a1d1 vs MAC_a2d3",1,0.0866871504638173,21.0886724217089,0.584357112815909,0.001,0.00181395348837209,"*"
"23","MAC_a1d1 vs PEB_a2d2",1,0.0968434329553403,24.3916513418577,0.603878537557605,0.001,0.00181395348837209,"*"
"24","MAC_a1d2 vs MAC_a1d3",1,0.0297363957319197,5.21006866654484,0.23458138490102,0.004,0.00636734693877551,"*"
"25","MAC_a1d2 vs MAC_a2d1",1,0.00977623548622406,1.51056315968651,0.0862658240006914,0.216,0.230794520547945,""
"26","MAC_a1d2 vs MAC_a2d2",1,0.0173769455613362,3.15726468957328,0.156631603453937,0.029,0.0396842105263158,"."
"27","MAC_a1d2 vs PEB_a1d1",1,0.0116149500966321,2.10024117422038,0.104488356931461,0.112,0.1248,""
"28","MAC_a1d2 vs PEB_a1d2",1,0.0298790947065888,4.9997655855414,0.217383327971154,0.012,0.018,"."
"29","MAC_a1d2 vs PEB_a1d3",1,0.0294376167477293,5.64773708932821,0.238827802761598,0.001,0.00181395348837209,"*"
"30","MAC_a1d2 vs PEB_a2d1",1,0.00618604350738279,0.649119963487274,0.0348070024085948,0.465,0.465,""
"31","MAC_a1d2 vs PEB_a2d3",1,0.0118601516778794,1.87216665374699,0.0992025286813203,0.16,0.173333333333333,""
"32","MAC_a1d2 vs MAC_a2d3",1,0.022688426103403,3.65542376722987,0.185975322156335,0.029,0.0396842105263158,"."
"33","MAC_a1d2 vs PEB_a2d2",1,0.0239003926726681,4.01587485632246,0.191087684132946,0.012,0.018,"."
"34","MAC_a1d3 vs MAC_a2d1",1,0.0427270451341056,15.7473049409458,0.512152364937042,0.001,0.00181395348837209,"*"
"35","MAC_a1d3 vs MAC_a2d2",1,0.0120863641234074,6.29635138819313,0.282393799710536,0.001,0.00181395348837209,"*"
"36","MAC_a1d3 vs PEB_a1d1",1,0.0352520056622552,16.3319190025627,0.489978359821019,0.001,0.00181395348837209,"*"
"37","MAC_a1d3 vs PEB_a1d2",1,0.0120290211555408,4.5728986638667,0.211974233741988,0.002,0.00331914893617021,"*"
"38","MAC_a1d3 vs PEB_a1d3",1,0.00988043688744062,5.42357158548586,0.241869211816211,0.001,0.00181395348837209,"*"
"39","MAC_a1d3 vs PEB_a2d1",1,0.0252445491845159,3.94856820738283,0.188488691365133,0.002,0.00331914893617021,"*"
"40","MAC_a1d3 vs PEB_a2d3",1,0.0110878292412317,3.95609427497754,0.198239907091339,0.021,0.0297818181818182,"."
"41","MAC_a1d3 vs MAC_a2d3",1,0.00311831911263798,1.28300183173076,0.0787939376897056,0.236,0.24856,""
"42","MAC_a1d3 vs PEB_a2d2",1,0.0063275018627615,2.64169494426937,0.141708946110689,0.035,0.0455,"."
"43","MAC_a2d1 vs MAC_a2d2",1,0.0199348030907755,8.0303093682455,0.348684389768459,0.001,0.00181395348837209,"*"
"44","MAC_a2d1 vs PEB_a1d1",1,0.0155082700178693,5.74149072439713,0.264079901290041,0.001,0.00181395348837209,"*"
"45","MAC_a2d1 vs PEB_a1d2",1,0.0518539904468173,16.1911204061866,0.502968526782774,0.001,0.00181395348837209,"*"
"46","MAC_a2d1 vs PEB_a1d3",1,0.0535984769685248,22.8727975380387,0.588401118176707,0.001,0.00181395348837209,"*"
"47","MAC_a2d1 vs PEB_a2d1",1,0.00790435209717991,1.09772961437077,0.0642032386246253,0.343,0.347454545454545,""
"48","MAC_a2d1 vs PEB_a2d3",1,0.0266373552960321,7.77855613015699,0.341485917092822,0.002,0.00331914893617021,"*"
"49","MAC_a2d1 vs MAC_a2d3",1,0.0309950748368498,10.0959591372114,0.418989718554933,0.001,0.00181395348837209,"*"
"50","MAC_a2d1 vs PEB_a2d2",1,0.0410660232321555,13.7352968459402,0.477993908313523,0.001,0.00181395348837209,"*"
"51","MAC_a2d2 vs PEB_a1d1",1,0.0288401850990957,14.7536417992107,0.464628337514893,0.001,0.00181395348837209,"*"
"52","MAC_a2d2 vs PEB_a1d2",1,0.0297581643148438,12.2622371573088,0.41904646905119,0.001,0.00181395348837209,"*"
"53","MAC_a2d2 vs PEB_a1d3",1,0.0254603830547905,15.7350363451924,0.480678749803903,0.001,0.00181395348837209,"*"
"54","MAC_a2d2 vs PEB_a2d1",1,0.0119710244589412,1.93403782423417,0.102146084326437,0.092,0.104,""
"55","MAC_a2d2 vs PEB_a2d3",1,0.0117335099894823,4.53679068629195,0.220910401999676,0.001,0.00181395348837209,"*"
"56","MAC_a2d2 vs MAC_a2d3",1,0.00503347900817172,2.2883199283785,0.132362192385291,0.036,0.0460327868852459,"."
"57","MAC_a2d2 vs PEB_a2d2",1,0.0123440766455817,5.66547715229929,0.261497917284413,0.001,0.00181395348837209,"*"
"58","PEB_a1d1 vs PEB_a1d2",1,0.0260266270642548,9.91772725755531,0.355248375559343,0.001,0.00181395348837209,"*"
"59","PEB_a1d1 vs PEB_a1d3",1,0.0347476809374713,18.6771377482957,0.509231060408022,0.001,0.00181395348837209,"*"
"60","PEB_a1d1 vs PEB_a2d1",1,0.0113097354288933,1.83063291239803,0.0923133881043973,0.123,0.13512676056338,""
"61","PEB_a1d1 vs PEB_a2d3",1,0.0174159990529583,6.25131479598747,0.268858550616943,0.001,0.00181395348837209,"*"
"62","PEB_a1d1 vs MAC_a2d3",1,0.026487482812778,10.8735411070835,0.404618842889201,0.001,0.00181395348837209,"*"
"63","PEB_a1d1 vs PEB_a2d2",1,0.0288334030755205,12.0015909088088,0.413825260364027,0.001,0.00181395348837209,"*"
"64","PEB_a1d2 vs PEB_a1d3",1,0.00325545373427791,1.41158196491766,0.0727185433659555,0.239,0.24856,""
"65","PEB_a1d2 vs PEB_a2d1",1,0.0315442467577527,4.76222079067394,0.209216000251834,0.002,0.00331914893617021,"*"
"66","PEB_a1d2 vs PEB_a2d3",1,0.00988621122370091,3.0344387167811,0.151461129491959,0.053,0.0617014925373134,""
"67","PEB_a1d2 vs MAC_a2d3",1,0.0167788196002843,5.71196052206616,0.263078984334972,0.001,0.00181395348837209,"*"
"68","PEB_a1d2 vs PEB_a2d2",1,0.00842320031052635,2.93032396181083,0.147028415966831,0.042,0.0511875,""
"69","PEB_a1d3 vs PEB_a2d1",1,0.0318443567329248,5.43415500017848,0.231890375400226,0.001,0.00181395348837209,"*"
"70","PEB_a1d3 vs PEB_a2d3",1,0.00761784203944133,3.11026376712952,0.154660515801552,0.015,0.0220754716981132,"."
"71","PEB_a1d3 vs MAC_a2d3",1,0.0150021523531233,7.21882682559667,0.310904029726367,0.001,0.00181395348837209,"*"
"72","PEB_a1d3 vs PEB_a2d2",1,0.00632377587182882,3.06124865735794,0.152595120555228,0.018,0.026,"."
"73","PEB_a2d1 vs PEB_a2d3",1,0.00998598911762484,1.42233469619812,0.077207081493946,0.247,0.2535,""
"74","PEB_a2d1 vs MAC_a2d3",1,0.0165193414767093,2.38185082329451,0.129576224189356,0.032,0.0423050847457627,"."
"75","PEB_a2d1 vs PEB_a2d2",1,0.0236975372791466,3.57033936513307,0.173567353545213,0.006,0.00936,"*"
"76","PEB_a2d3 vs MAC_a2d3",1,0.00887983841613146,2.82648475509719,0.158555362648769,0.047,0.0555454545454546,""
"77","PEB_a2d3 vs PEB_a2d2",1,0.00800899711430022,2.61564153976183,0.140507730242602,0.047,0.0555454545454546,""
"78","MAC_a2d3 vs PEB_a2d2",1,0.00642086989795461,2.3719405848881,0.136538607952151,0.072,0.0825882352941176,""
