"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","C vs MAC_a1d1",1,0.000776213160986365,1.95183052984084,0.102989024029503,0.037,0.131181818181818,""
"2","C vs MAC_a1d2",1,0.000492119233025505,1.15213137105769,0.0601568226917433,0.278,0.387214285714286,""
"3","C vs MAC_a1d3",1,0.000613528187916946,1.79543104138142,0.095524866518276,0.044,0.13728,""
"4","C vs MAC_a2d1",1,0.000692134023031477,2.05858123599075,0.113994627212907,0.003,0.0585,""
"5","C vs MAC_a2d2",1,0.000550900076982244,1.64802876060604,0.0883754943625733,0.068,0.193655172413793,""
"6","C vs PEB_a1d1",1,0.00136296797735602,3.49619907713627,0.162642663690945,0.001,0.026,"."
"7","C vs PEB_a1d2",1,0.000549012776912911,1.60437291409066,0.0818375023328348,0.04,0.135652173913043,""
"8","C vs PEB_a1d3",1,0.000769540161323386,1.9188039604512,0.0963312839596689,0.037,0.131181818181818,""
"9","C vs PEB_a2d1",1,0.000813886945275249,2.02652977196739,0.101192258221595,0.018,0.117,""
"10","C vs PEB_a2d3",1,0.000950910597237605,2.41032619335793,0.124177521250659,0.008,0.078,""
"11","C vs MAC_a2d3",1,0.000574870360520371,1.5590021417479,0.0887864885010323,0.083,0.2023125,""
"12","C vs PEB_a2d2",1,0.000518609046141459,1.24602838271171,0.0682903893700138,0.211,0.299236363636364,""
"13","MAC_a1d1 vs MAC_a1d2",1,0.000365791911926879,0.715613678057083,0.0403945181387341,0.628,0.695408450704225,""
"14","MAC_a1d1 vs MAC_a1d3",1,0.000731736018327177,1.71910657753093,0.0970199355147441,0.086,0.2028,""
"15","MAC_a1d1 vs MAC_a2d1",1,0.000338538872348352,0.795849341274942,0.0503834472006116,0.633,0.695408450704225,""
"16","MAC_a1d1 vs MAC_a2d2",1,0.000814273785934163,1.94920811544706,0.108595772187274,0.044,0.13728,""
"17","MAC_a1d1 vs PEB_a1d1",1,0.000750841976450403,1.59188266184327,0.0856224563588893,0.11,0.214975609756098,""
"18","MAC_a1d1 vs PEB_a1d2",1,0.000617609564456203,1.46623475525398,0.0794008510498768,0.113,0.214975609756098,""
"19","MAC_a1d1 vs PEB_a1d3",1,0.000834502453751932,1.72582688786637,0.0921629201316947,0.071,0.193655172413793,""
"20","MAC_a1d1 vs PEB_a2d1",1,0.000486307538980726,1.00448743009492,0.0557909484507679,0.374,0.470516129032258,""
"21","MAC_a1d1 vs PEB_a2d3",1,0.000778268759285974,1.61551048036085,0.0917095466612761,0.111,0.214975609756098,""
"22","MAC_a1d1 vs MAC_a2d3",1,0.000669202419352499,1.45455894080902,0.0883985372103509,0.177,0.281755102040816,""
"23","MAC_a1d1 vs PEB_a2d2",1,0.000627128331670852,1.24233490671284,0.0720514311683606,0.208,0.299236363636364,""
"24","MAC_a1d2 vs MAC_a1d3",1,0.000504178754472246,1.10762259959823,0.0611688582256405,0.301,0.40748275862069,""
"25","MAC_a1d2 vs MAC_a2d1",1,0.000337863893693664,0.739656766854221,0.0441858980238351,0.707,0.745216216216216,""
"26","MAC_a1d2 vs MAC_a2d2",1,0.000630114605032011,1.40728535311948,0.0764526287349041,0.147,0.249260869565217,""
"27","MAC_a1d2 vs PEB_a1d1",1,0.000874500962097458,1.75951560372723,0.0890464948136345,0.089,0.2028,""
"28","MAC_a1d2 vs PEB_a1d2",1,0.00048433259607937,1.07781008544327,0.0564954824802276,0.346,0.442426229508197,""
"29","MAC_a1d2 vs PEB_a1d3",1,0.000829937501323625,1.63302303581202,0.0831773605538624,0.119,0.217674418604651,""
"30","MAC_a1d2 vs PEB_a2d1",1,0.000566301625283563,1.11304562474005,0.0582348646360849,0.303,0.40748275862069,""
"31","MAC_a1d2 vs PEB_a2d3",1,0.000871947364347856,1.71646912063364,0.0917090242593541,0.098,0.212333333333333,""
"32","MAC_a1d2 vs MAC_a2d3",1,0.00042673330319499,0.872115475533448,0.051689752645311,0.504,0.569739130434783,""
"33","MAC_a1d2 vs PEB_a2d2",1,0.000489207313322697,0.923584546954684,0.0515290088617685,0.387,0.479142857142857,""
"34","MAC_a1d3 vs MAC_a2d1",1,0.000510136133496899,1.40941120198156,0.0858904188964053,0.109,0.214975609756098,""
"35","MAC_a1d3 vs MAC_a2d2",1,0.000341697903475717,0.953718590059247,0.0562542420999282,0.44,0.525909090909091,""
"36","MAC_a1d3 vs PEB_a1d1",1,0.00153929327785679,3.70288713803995,0.178858490284487,0.001,0.026,"."
"37","MAC_a1d3 vs PEB_a1d2",1,0.000620255881739818,1.69815346538615,0.0908193137108301,0.036,0.131181818181818,""
"38","MAC_a1d3 vs PEB_a1d3",1,0.00115553553798347,2.70256827179762,0.137168324175589,0.017,0.117,""
"39","MAC_a1d3 vs PEB_a2d1",1,0.000895011824191263,2.09033505843496,0.109497033553183,0.021,0.122571428571429,""
"40","MAC_a1d3 vs PEB_a2d3",1,0.00125009756086883,2.96034155823348,0.15613334544324,0.006,0.0668571428571429,""
"41","MAC_a1d3 vs MAC_a2d3",1,0.000244330371483274,0.615997820383732,0.039446587241429,0.902,0.913714285714286,""
"42","MAC_a1d3 vs PEB_a2d2",1,0.00068587967220912,1.54015437743561,0.0878073444676706,0.104,0.214975609756098,""
"43","MAC_a2d1 vs MAC_a2d2",1,0.000521176681516223,1.47424998593103,0.0894881398054562,0.083,0.2023125,""
"44","MAC_a2d1 vs PEB_a1d1",1,0.000933221080891202,2.24966092327278,0.123271382012578,0.012,0.104,""
"45","MAC_a2d1 vs PEB_a1d2",1,0.000625514081539117,1.73163826630394,0.097658109211185,0.036,0.131181818181818,""
