"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig","a","b"
"1","C vs MAC_a1d1",1,0.0589927998667964,16.6847861455688,0.495321124304173,0.001,0.00181395348837209,"*","C","MAC_a1d1"
"2","C vs MAC_a1d2",1,0.0431739776898542,7.94964102091429,0.306348785885216,0.004,0.00636734693877551,"*","C","MAC_a1d2"
"3","C vs MAC_a1d3",1,0.099108275773037,48.2685282484669,0.739537561881529,0.001,0.00181395348837209,"*","C","MAC_a1d3"
"4","C vs MAC_a2d1",1,0.0623812750943121,24.0918660926985,0.600916555916714,0.001,0.00181395348837209,"*","C","MAC_a2d1"
"5","C vs MAC_a2d2",1,0.0955739028000653,51.6732935198188,0.752451074811289,0.001,0.00181395348837209,"*","C","MAC_a2d2"
"6","C vs PEB_a1d1",1,0.0482968824301353,23.2298371884898,0.563422966777442,0.001,0.00181395348837209,"*","C","PEB_a1d1"
"7","C vs PEB_a1d2",1,0.0718289709685225,28.4483124446209,0.612472465572115,0.001,0.00181395348837209,"*","C","PEB_a1d2"
"8","C vs PEB_a1d3",1,0.0745519972302123,42.3331109941479,0.701656359113556,0.001,0.00181395348837209,"*","C","PEB_a1d3"
"9","C vs PEB_a2d1",1,0.0634910932204491,10.4448690235152,0.367196945603106,0.001,0.00181395348837209,"*","C","PEB_a2d1"
"10","C vs PEB_a2d3",1,0.0592439662308854,22.099609132175,0.565213044904566,0.001,0.00181395348837209,"*","C","PEB_a2d3"
"11","C vs MAC_a2d3",1,0.0931366930574666,40.0729562688746,0.714657455845941,0.001,0.00181395348837209,"*","C","MAC_a2d3"
"12","C vs PEB_a2d2",1,0.0842461654087407,36.6724368296507,0.683263868678895,0.001,0.00181395348837209,"*","C","PEB_a2d2"
"13","MAC_a1d1 vs MAC_a1d2",1,0.0297519306564322,4.13799351880504,0.195760941790608,0.041,0.0507619047619048,"","MAC_a1d1","MAC_a1d2"
"14","MAC_a1d1 vs MAC_a1d3",1,0.102807755835876,27.702696839341,0.633889870485135,0.001,0.00181395348837209,"*","MAC_a1d1","MAC_a1d3"
"15","MAC_a1d1 vs MAC_a2d1",1,0.0175885233437565,4.00338927923236,0.210667119449446,0.03,0.0403448275862069,".","MAC_a1d1","MAC_a2d1"
"16","MAC_a1d1 vs MAC_a2d2",1,0.0704564451882586,20.1609962811702,0.557534314718769,0.001,0.00181395348837209,"*","MAC_a1d1","MAC_a2d2"
"17","MAC_a1d1 vs PEB_a1d1",1,0.0395201030766237,10.8544039965984,0.389683584611036,0.001,0.00181395348837209,"*","MAC_a1d1","PEB_a1d1"
"18","MAC_a1d1 vs PEB_a1d2",1,0.10275091301247,24.982245540802,0.595066919813093,0.001,0.00181395348837209,"*","MAC_a1d1","PEB_a1d2"
"19","MAC_a1d1 vs PEB_a1d3",1,0.105901194813309,32.050350024125,0.653417356009922,0.001,0.00181395348837209,"*","MAC_a1d1","PEB_a1d3"
"20","MAC_a1d1 vs PEB_a2d1",1,0.0360069798627602,4.57185187556293,0.211935994273261,0.04,0.0503225806451613,"","MAC_a1d1","PEB_a2d1"
"21","MAC_a1d1 vs PEB_a2d3",1,0.066384977182992,15.1639014937873,0.486585464814485,0.001,0.00181395348837209,"*","MAC_a1d1","PEB_a2d3"
"22","MAC_a1d1 vs MAC_a2d3",1,0.0866871504638173,21.0886724217089,0.584357112815909,0.001,0.00181395348837209,"*","MAC_a1d1","MAC_a2d3"
"23","MAC_a1d1 vs PEB_a2d2",1,0.0968434329553403,24.3916513418577,0.603878537557605,0.001,0.00181395348837209,"*","MAC_a1d1","PEB_a2d2"
"24","MAC_a1d2 vs MAC_a1d3",1,0.0297363957319197,5.21006866654484,0.23458138490102,0.004,0.00636734693877551,"*","MAC_a1d2","MAC_a1d3"
"25","MAC_a1d2 vs MAC_a2d1",1,0.00977623548622406,1.51056315968651,0.0862658240006914,0.216,0.230794520547945,"","MAC_a1d2","MAC_a2d1"
"26","MAC_a1d2 vs MAC_a2d2",1,0.0173769455613362,3.15726468957328,0.156631603453937,0.029,0.0396842105263158,".","MAC_a1d2","MAC_a2d2"
"27","MAC_a1d2 vs PEB_a1d1",1,0.0116149500966321,2.10024117422038,0.104488356931461,0.112,0.1248,"","MAC_a1d2","PEB_a1d1"
"28","MAC_a1d2 vs PEB_a1d2",1,0.0298790947065888,4.9997655855414,0.217383327971154,0.012,0.018,".","MAC_a1d2","PEB_a1d2"
"29","MAC_a1d2 vs PEB_a1d3",1,0.0294376167477293,5.64773708932821,0.238827802761598,0.001,0.00181395348837209,"*","MAC_a1d2","PEB_a1d3"
"30","MAC_a1d2 vs PEB_a2d1",1,0.00618604350738279,0.649119963487274,0.0348070024085948,0.465,0.465,"","MAC_a1d2","PEB_a2d1"
"31","MAC_a1d2 vs PEB_a2d3",1,0.0118601516778794,1.87216665374699,0.0992025286813203,0.16,0.173333333333333,"","MAC_a1d2","PEB_a2d3"
"32","MAC_a1d2 vs MAC_a2d3",1,0.022688426103403,3.65542376722987,0.185975322156335,0.029,0.0396842105263158,".","MAC_a1d2","MAC_a2d3"
"33","MAC_a1d2 vs PEB_a2d2",1,0.0239003926726681,4.01587485632246,0.191087684132946,0.012,0.018,".","MAC_a1d2","PEB_a2d2"
"34","MAC_a1d3 vs MAC_a2d1",1,0.0427270451341056,15.7473049409458,0.512152364937042,0.001,0.00181395348837209,"*","MAC_a1d3","MAC_a2d1"
"35","MAC_a1d3 vs MAC_a2d2",1,0.0120863641234074,6.29635138819313,0.282393799710536,0.001,0.00181395348837209,"*","MAC_a1d3","MAC_a2d2"
"36","MAC_a1d3 vs PEB_a1d1",1,0.0352520056622552,16.3319190025627,0.489978359821019,0.001,0.00181395348837209,"*","MAC_a1d3","PEB_a1d1"
"37","MAC_a1d3 vs PEB_a1d2",1,0.0120290211555408,4.5728986638667,0.211974233741988,0.002,0.00331914893617021,"*","MAC_a1d3","PEB_a1d2"
"38","MAC_a1d3 vs PEB_a1d3",1,0.00988043688744062,5.42357158548586,0.241869211816211,0.001,0.00181395348837209,"*","MAC_a1d3","PEB_a1d3"
"39","MAC_a1d3 vs PEB_a2d1",1,0.0252445491845159,3.94856820738283,0.188488691365133,0.002,0.00331914893617021,"*","MAC_a1d3","PEB_a2d1"
"40","MAC_a1d3 vs PEB_a2d3",1,0.0110878292412317,3.95609427497754,0.198239907091339,0.021,0.0297818181818182,".","MAC_a1d3","PEB_a2d3"
